Id,V1,V2,Hashtag
240,-32.25277417,-21.35015186,canada
241,12.53392431,9.926691936,GameOfThrones
242,43.94181596,-41.34338658,NBA
243,-39.66090204,8.447656157,tgif
244,40.35472081,33.3561862,classic
245,49.69583747,26.92361067,dance
246,22.00642249,-52.63191366,FelizJueves
247,-23.94599537,62.4429389,Twitter
248,45.56198385,0.857808075,Respect
249,-61.74197939,49.3415418,Boston
250,-80.60798504,13.24373963,delicious
251,-37.26759335,32.59127203,proud
252,8.235856921,76.09050601,health
253,-57.3181918,-12.61489319,hiking
254,-2.002576172,-8.377202123,AltonSterling
255,40.3165361,-43.21118473,IGotTheCavs
256,20.38481488,34.26367324,wow
257,22.90542609,-53.63306959,FelizMartes
258,11.11605277,76.11144009,gym
259,85.55702808,24.80532591,TeamUSA
260,5.804494815,65.43063568,yoga
261,-13.33819453,65.6310311,success
262,-14.99587452,-67.65761261,GOP
263,-24.67018142,28.94982759,instagood
264,-32.12409331,-47.44639952,?????
265,-20.79246249,12.04586861,fbf
266,-3.774992212,33.06172586,free
267,84.78962581,-16.91319518,RiseUp
268,-51.50322635,-31.43417659,relax
269,-14.63360908,33.48109865,monday
270,36.82943181,-14.58442024,Sunday
271,6.011969132,40.38896776,adulting
272,40.0080772,15.23515532,NowPlaying
273,-14.32367385,36.37309396,Monday
274,-39.82763571,34.11255037,MothersDay
275,-23.59025511,22.11308877,night
276,9.905003649,69.56963881,running
277,-47.55634505,31.19686852,merrychristmas
278,53.3030567,0.622037062,Truth
279,-30.11623946,-17.82704851,toronto
280,17.25519404,51.29241656,funny
281,-34.61227217,23.08091293,memories
282,55.00912606,24.91481689,hiphop
283,-50.45484734,15.51759525,cheers
284,-44.14069377,-13.28935842,rain
285,-53.41899426,-17.1891645,water
286,-67.57590011,30.6824441,starbucks
287,-11.44776081,-61.96902829,SNL
288,-50.8296349,-16.9788246,clouds
289,-51.19812122,-36.97918434,ocean
290,-62.90426013,-49.44307378,LosAngeles
291,44.63106725,51.77669892,style
292,-24.11088614,44.76751259,happiness
293,-61.61086375,50.55091315,Houston
294,27.64481028,-62.81938553,México
295,-26.39653297,38.7281586,datenight
296,-50.60058805,-49.51404138,downtown
297,38.06019641,74.87053117,dogs
298,-61.80301558,50.69557633,Atlanta
299,-1.907152041,57.73593823,ThursdayThoughts
300,-49.09924106,-65.79342736,brooklyn
301,-23.61272189,72.08658914,business
302,-13.18608002,16.07929213,blessup
303,-1.884427849,-78.7482896,DNCinPHL
304,-71.48689139,11.9480575,vegan
305,-47.40053929,-19.40620702,views
306,13.86864417,45.44311716,oops
307,66.27104536,-36.58535335,artist
308,3.345225663,-81.53740196,DemDebate
309,-2.466384549,-68.39921221,Debates2016
